team1,team2,outcome,sd
EGY,ENG,-1.0030333333333332,1.7787033457818937
AUS,ENG,-1.6978333333333326,1.9093522467067223
DEN,ENG,0.0926666666666667,1.7413144833825547
ARG,ENG,-0.39593333333333336,1.8965543520167412
CRO,ENG,-0.019699999999999964,1.6879506767665386
BRA,ENG,0.27276666666666677,1.740669694486562
CRC,ENG,-1.1094666666666664,1.7303515228951518
BEL,ENG,0.059266666666666676,1.7707929767887607
COL,ENG,-0.2744666666666667,1.7731634126857247
KSA,POL,-0.4161999999999998,1.904704124016256
EGY,POL,-0.19419999999999998,2.18459152455263
ESP,POL,1.264133333333334,2.1712974571710015
MAR,POL,-0.47956666666666653,1.9339789799647376
IRN,POL,0.35799999999999993,2.0633658752747355
FRA,POL,0.3051000000000002,1.3851633318938086
AUS,POL,0.15173333333333336,2.0109492912257987
PER,POL,-0.31853333333333317,1.5974779945267181
DEN,POL,0.2697,1.5657508156757045
ARG,POL,0.7807000000000003,1.9851413815725787
ISL,POL,-0.31429999999999997,1.6896842302092596
CRO,POL,0.09296666666666661,1.4762719038628815
NGA,POL,0.4232333333333333,1.6442919258545352
BRA,POL,1.0991999999999993,1.7839718557969637
CRC,POL,0.04996666666666667,1.9372712581445697
